genres, genres_installs , genres_installs , genres_installs 
,, Millions , Billions 
Social," 9,352,737,461 ",9353 M,9 B
Arcade," 9,058,079,707 ",9058 M,9 B
Casual," 8,977,190,086 ",8977 M,9 B
Communication," 7,610,786,614 ",7611 M,8 B
Action," 4,738,015,184 ",4738 M,5 B
Productivity," 4,479,494,612 ",4479 M,4 B
Travel & Local," 2,281,231,060 ",2281 M,2 B
News & Magazines," 1,566,169,337 ",1566 M,2 B
Strategy," 1,221,654,432 ",1222 M,1 B
Tools," 1,123,605,777 ",1124 M,1 B
Video Players & Editors," 1,100,546,669 ",1101 M,1 B
Racing," 1,030,001,196 ",1030 M,1 B
Entertainment," 965,131,857 ",965 M,1 B
Adventure;Action & Adventure," 942,141,020 ",942 M,1 B
Puzzle," 873,610,439 ",874 M,1 B
Sports," 652,836,280 ",653 M,1 B
Shopping," 545,752,425 ",546 M,1 B
Photography," 470,968,675 ",471 M,0 B
Simulation," 275,297,832 ",275 M,0 B
Entertainment;Music & Video," 264,938,381 ",265 M,0 B
Adventure," 234,652,088 ",235 M,0 B
Maps & Navigation," 212,535,822 ",213 M,0 B
Puzzle;Action & Adventure," 158,895,865 ",159 M,0 B
Role Playing," 140,050,417 ",140 M,0 B
Lifestyle," 131,900,429 ",132 M,0 B
Books & Reference," 125,140,960 ",125 M,0 B
Card," 121,695,597 ",122 M,0 B
Food & Drink," 116,365,369 ",116 M,0 B
Trivia," 110,033,460 ",110 M,0 B
Educational;Action & Adventure," 100,313,752 ",100 M,0 B
Education," 91,411,374 ",91 M,0 B
Business," 71,311,822 ",71 M,0 B
Casual;Action & Adventure," 50,951,609 ",51 M,0 B
Board," 50,782,085 ",51 M,0 B
Racing;Action & Adventure," 48,548,824 ",49 M,0 B
Finance," 47,136,440 ",47 M,0 B
Education;Education," 44,128,570 ",44 M,0 B
Arcade;Action & Adventure," 31,138,958 ",31 M,0 B
Puzzle;Brain Games," 21,115,931 ",21 M,0 B
Simulation;Action & Adventure," 20,184,365 ",20 M,0 B
Health & Fitness," 19,981,537 ",20 M,0 B
Card;Brain Games," 17,415,903 ",17 M,0 B
Weather," 12,871,377 ",13 M,0 B
Casual;Pretend Play," 11,376,490 ",11 M,0 B
Education;Music & Video," 10,441,201 ",10 M,0 B
Music," 10,064,643 ",10 M,0 B
Board;Action & Adventure," 5,133,034 ",5 M,0 B
Entertainment;Brain Games," 4,006,170 ",4 M,0 B
Action;Action & Adventure," 1,010,965 ",1 M,0 B
Art & Design," 1,001,658 ",1 M,0 B
