genres,cnt,user_stars
Food & Drink,2,5
Arcade,1,5
Casual,1,5
Simulation,1,5
Arcade,39,4.5
Action,35,4.5
Casual,34,4.5
Productivity,20,4.5
Entertainment,18,4.5
Puzzle,15,4.5
Communication,14,4.5
Sports,12,4.5
Photography,11,4.5
Racing,11,4.5
Social,11,4.5
Strategy,11,4.5
Simulation,10,4.5
Adventure;Action & Adventure,9,4.5
Food & Drink,9,4.5
Shopping,8,4.5
Finance,5,4.5
News & Magazines,5,4.5
Role Playing,5,4.5
Education,4,4.5
Education;Education,4,4.5
Entertainment;Music & Video,4,4.5
Puzzle;Action & Adventure,4,4.5
Racing;Action & Adventure,4,4.5
Tools,4,4.5
Arcade;Action & Adventure,3,4.5
Business,3,4.5
Card,3,4.5
Casual;Action & Adventure,2,4.5
Casual;Pretend Play,2,4.5
Health & Fitness,2,4.5
Puzzle;Brain Games,2,4.5
Simulation;Action & Adventure,2,4.5
Travel & Local,2,4.5
Action;Action & Adventure,1,4.5
Adventure,1,4.5
Board,1,4.5
Books & Reference,1,4.5
Card;Brain Games,1,4.5
Lifestyle,1,4.5
Trivia,1,4.5
Weather,1,4.5
Entertainment,12,4
Sports,12,4
Social,10,4
Communication,8,4
Action,7,4
Entertainment;Music & Video,6,4
News & Magazines,6,4
Travel & Local,6,4
Education,5,4
Adventure,4,4
Casual;Action & Adventure,4,4
Racing,4,4
Arcade,3,4
Casual,3,4
Maps & Navigation,3,4
Strategy,3,4
Card,2,4
Education;Music & Video,2,4
Educational;Action & Adventure,2,4
Finance,2,4
Health & Fitness,2,4
Lifestyle,2,4
Art & Design,1,4
Board;Action & Adventure,1,4
Education;Education,1,4
Food & Drink,1,4
Music,1,4
Productivity,1,4
Puzzle,1,4
Role Playing,1,4
Tools,1,4
Video Players & Editors,1,4
Travel & Local,5,3.5
Lifestyle,3,3.5
Entertainment,2,3.5
Food & Drink,2,3.5
Productivity,2,3.5
Action,1,3.5
Social,1,3.5
Video Players & Editors,1,3.5
Business,1,3
Entertainment,1,3
Entertainment;Brain Games,1,3
Lifestyle,1,3
Shopping,1,3
Sports,1,3
